dungeon,coordinate,traversal,object,required_action,notes
,P7,confirmed_walkable,jump,hold down,
,M11,confirmed_walkable,player_probe,,
,M12,confirmed_walkable,player_probe,,
,L12,confirmed_walkable,player_probe,,
,L13,confirmed_walkable,player_probe,,
,L14,confirmed_walkable,player_probe,,
,L15,confirmed_walkable,player_probe,,
,M15,confirmed_walkable,player_probe,,
,M16,confirmed_walkable,player_probe,,
,N16,confirmed_walkable,player_probe,,
,O16,confirmed_walkable,player_probe,,
,P16,confirmed_walkable,player_probe,,
,Q16,confirmed_walkable,player_probe,,
,R16,confirmed_walkable,player_probe,,
,S16,confirmed_walkable,player_probe,,
,T16,confirmed_walkable,player_probe,,
,T15,confirmed_walkable,player_probe,,
,S15,confirmed_walkable,player_probe,,
,R15,confirmed_walkable,ladder,climb,
,R14,confirmed_walkable,ladder,climb,
,R13,confirmed_walkable,ladder,climb,
,V10,confirmed_walkable,door,,
,V9,confirmed_walkable,player_probe,,
,V8,confirmed_walkable,player_probe,,
,V7,confirmed_walkable,player_probe,,
,Z7,confirmed_walkable,player_probe,,
,Z8,confirmed_walkable,player_probe,,
,Z9,confirmed_walkable,player_probe,,
,Z10,confirmed_walkable,door,,
,AI9,confirmed_walkable,jump,hold right,
,AJ9,confirmed_walkable,ladder,climb,
,AJ10,confirmed_walkable,ladder,climb,
,AJ11,confirmed_walkable,player_probe,,
,AK11,confirmed_walkable,player_probe,,
,AL11,confirmed_walkable,player_probe,,
,AM11,confirmed_walkable,player_probe,,
,AM10,confirmed_walkable,player_probe,,
,AM9,confirmed_walkable,player_probe,,
,AM12,confirmed_walkable,player_probe,,
,AM13,confirmed_walkable,player_probe,,
,AM14,confirmed_walkable,player_probe,,
,AM15,confirmed_walkable,player_probe,,
,AM16,confirmed_walkable,player_probe,,
,AN13,confirmed_walkable,player_probe,,
,AN14,confirmed_walkable,player_probe,,
,AO13,confirmed_walkable,player_probe,,
,AO14,confirmed_walkable,player_probe,,
,AO12,confirmed_walkable,ladder,climb,
,AO11,confirmed_walkable,ladder,climb,
,AQ11,confirmed_walkable,jump,hold left,
,AW10,confirmed_walkable,door,,
,AW9,confirmed_walkable,player_probe,,
,AW8,confirmed_walkable,player_probe,,
,AW7,confirmed_walkable,player_probe,,
,BA7,confirmed_walkable,player_probe,,
,BA8,confirmed_walkable,player_probe,,
,BA9,confirmed_walkable,player_probe,,
,BA10,confirmed_walkable,door,,
,BM7,blocked,monster,beat,may hold key item
,BG11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BI10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BG16,blocked,bush,remove,"use sword, fire arrow or bomb"
,BG15,blocked,bush,remove,"use sword, fire arrow or bomb"
,BH15,blocked,bush,remove,"use sword, fire arrow or bomb"
,BI15,blocked,bush,remove,"use sword, fire arrow or bomb"
,BJ15,blocked,bush,remove,"use sword, fire arrow or bomb"
,BG14,blocked,bush,remove,"use sword, fire arrow or bomb"
,BH14,blocked,bush,remove,"use sword, fire arrow or bomb"
,BI14,blocked,bush,remove,"use sword, fire arrow or bomb"
,BJ14,blocked,bush,remove,"use sword, fire arrow or bomb"
,BH13,blocked,bush,remove,"use sword, fire arrow or bomb"
,BI13,blocked,bush,remove,"use sword, fire arrow or bomb"
,BJ13,blocked,bush,remove,"use sword, fire arrow or bomb"
,BH12,blocked,bush,remove,"use sword, fire arrow or bomb"
,BI12,blocked,bush,remove,"use sword, fire arrow or bomb"
,BJ12,blocked,bush,remove,"use sword, fire arrow or bomb"
,BK12,blocked,bush,remove,"use sword, fire arrow or bomb"
,BJ11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BK11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BL11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BM11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BN11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BO11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BP11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BQ11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BR11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BS11,blocked,bush,remove,"use sword, fire arrow or bomb"
,BS12,blocked,bush,remove,"use sword, fire arrow or bomb"
,BK10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BL10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BM10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BN10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BO10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BP10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BQ10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BR10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BS10,blocked,bush,remove,"use sword, fire arrow or bomb"
,BL9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BM9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BO9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BP9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BQ9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BR9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BS9,blocked,bush,remove,"use sword, fire arrow or bomb"
,BP8,blocked,bush,remove,"use sword, fire arrow or bomb"
,BN15,conditional,puzzle,remove,"use sword, fire arrow or bomb, then walk on floor switch to open door at BN20"
,BN16,confirmed_walkable,player_probe,,
,BN17,confirmed_walkable,player_probe,,
,BN18,confirmed_walkable,player_probe,,
,BN19,confirmed_walkable,player_probe,,
,BN20,conditional,door,open,unlocks when floor switch at BN15 is pressed
,BS23,conditional,pot,pick up,place on BP22
,AI8,conditional,monster,move_away_or_defeat,"optional, it moves away from that spot"
,AO10,conditional,monster,defeat,mandatory; it will not let you pass otherwise
,AP10,conditional,monster,defeat,mandatory; it will not let you pass otherwise
,BP22,conditional,tile switch,activate,place pot from BS23 to open path at BN25
,BN25,conditional,wall,open,placing pot from BS23 on tile switch BP23
,BH29,conditional,pot,pick up,"place on tile at BK22 to open door at BC26, BD26"
,BC26,conditional,door,open,pick up pot at BH29 and place on tile at BK22 to unlock
,BD26,conditional,door,open,pick up pot at BH29 and place on tile at BK22 to unlock
,BC25,confirmed_walkable,player_probe,,
,BD25,confirmed_walkable,player_probe,,
,BC24,confirmed_walkable,player_probe,,
,BD24,confirmed_walkable,player_probe,,
,BC23,confirmed_walkable,player_probe,,
,BD23,confirmed_walkable,player_probe,,
,AZ23,confirmed_walkable,player_probe,,
,AZ24,confirmed_walkable,player_probe,,
,AZ25,confirmed_walkable,player_probe,,
,AZ26,confirmed_walkable,door,open,
Cave_to_Sundletan,F88,confirmed_walkable,player_probe,,dungeon entrance from Elcid Region / exit to Elcid Region
,N77,blocked,priest,talk,"Save, Heal, Cure"
,I78,blocked,NPC,talk,"Chat, Hint"
,J80,blocked,bush,remove,"use sword, fire arrow or bomb"
,H79,blocked,bush,remove,"use sword, fire arrow or bomb"
,I79,blocked,bush,remove,"use sword, fire arrow or bomb"
,J79,blocked,bush,remove,"use sword, fire arrow or bomb"
,H78,blocked,bush,remove,"use sword, fire arrow or bomb"
,P83,blocked,bush,remove,"use sword, fire arrow or bomb"
,P82,blocked,bush,remove,"use sword, fire arrow or bomb"
,O82,blocked,bush,remove,"use sword, fire arrow or bomb"
,N82,blocked,bush,remove,"use sword, fire arrow or bomb"
,N81,blocked,bush,remove,"use sword, fire arrow or bomb"
,O81,blocked,bush,remove,"use sword, fire arrow or bomb"
,N80,blocked,bush,remove,"use sword, fire arrow or bomb"
,J76,confirmed_walkable,door,open,
,J75,confirmed_walkable,player_probe,,
,J74,confirmed_walkable,player_probe,,
,J73,confirmed_walkable,player_probe,,
,J89,confirmed_walkable,bridge,,
,J88,confirmed_walkable,bridge,,
,J87,confirmed_walkable,bridge,,
,J86,confirmed_walkable,bridge,,
,J61,confirmed_walkable,door,open,
,J60,confirmed_walkable,player_probe,,
,J59,confirmed_walkable,player_probe,,
,J58,confirmed_walkable,player_probe,,
,J49,confirmed_walkable,door,open,"Exit to Sundletan Region, Entrance from Sundletan Region"
,J48,confirmed_walkable,player_probe,,
,J47,confirmed_walkable,player_probe,,
,AA62,confirmed_walkable,door,open,
,AA61,confirmed_walkable,player_probe,,
,AA60,confirmed_walkable,player_probe,,
,AA59,confirmed_walkable,player_probe,,
,W53,blocked,pot,pick up,"Step 1: place at V56, Step 3: pick up and place on floor switch at S56"
,X53,blocked,pot,pick up,Step 2: stand on on V55 and place on floor switch at V54
,W51,blocked,door,puzzle,opens after pot from W53 is placed on floor switch on S56
,S48,blocked,chest,open,may contain useful gear or items
,AG51,confirmed_walkable,door,open,
,AS49,blocked,bush,remove,"use sword, fire arrow or bomb"
,AT47,blocked,bush,remove,"use sword, fire arrow or bomb"
,AT48,blocked,bush,remove,"use sword, fire arrow or bomb"
,AT49,blocked,bush,remove,"use sword, fire arrow or bomb"
,AU51,blocked,bush,remove,"use sword, fire arrow or bomb"
,AU50,blocked,bush,remove,"use sword, fire arrow or bomb"
,AU49,blocked,bush,remove,"use sword, fire arrow or bomb"
,AU48,blocked,bush,remove,"use sword, fire arrow or bomb"
,AU47,blocked,bush,remove,"use sword, fire arrow or bomb"
,AV49,blocked,bush,remove,"use sword, fire arrow or bomb"
,AV48,blocked,bush,remove,"use sword, fire arrow or bomb"
,AV47,blocked,chest,open,may contain useful gear or items
,AA67,blocked,bush,remove,"use sword, fire arrow or bomb. Reveals floor switch"
,AA76,blocked,door,unlock,press floor switch on AA67 to unlock
,AA75,confirmed_walkable,player_probe,,
,AA74,confirmed_walkable,player_probe,,
,AA73,confirmed_walkable,player_probe,,
,X80,blocked,bush,remove,"use sword, fire arrow or bomb."
,X81,blocked,bush,remove,"use sword, fire arrow or bomb."
,X82,blocked,bush,remove,"use sword, fire arrow or bomb."
,X83,blocked,bush,remove,"use sword, fire arrow or bomb."
,X84,blocked,bush,remove,"use sword, fire arrow or bomb."
,Y82,blocked,bush,remove,"use sword, fire arrow or bomb."
,Y83,blocked,bush,remove,"use sword, fire arrow or bomb."
,Y84,blocked,bush,remove,"use sword, fire arrow or bomb."
,Y85,blocked,bush,remove,"use sword, fire arrow or bomb."
,Z82,blocked,bush,remove,"use sword, fire arrow or bomb."
,Z83,blocked,bush,remove,"use sword, fire arrow or bomb."
,Z84,blocked,bush,remove,"use sword, fire arrow or bomb."
,Z85,blocked,bush,remove,"use sword, fire arrow or bomb."
,Y81,blocked,bush,remove,"use sword, fire arrow or bomb."
,AA83,blocked,bush,remove,"use sword, fire arrow or bomb."
,AA84,blocked,bush,remove,"use sword, fire arrow or bomb."
,AA85,blocked,bush,remove,"use sword, fire arrow or bomb."
,AA86,blocked,bush,remove,"use sword, fire arrow or bomb."
,AB83,blocked,bush,remove,"use sword, fire arrow or bomb."
,AB84,blocked,bush,remove,"use sword, fire arrow or bomb."
,AB85,blocked,bush,remove,"use sword, fire arrow or bomb."
,AC82,blocked,bush,remove,"use sword, fire arrow or bomb."
,AC83,blocked,bush,remove,"use sword, fire arrow or bomb."
,AD83,blocked,bush,remove,"use sword, fire arrow or bomb."
,AD84,blocked,bush,remove,"use sword, fire arrow or bomb."
,AD85,blocked,bush,remove,"use sword, fire arrow or bomb."
,AE85,blocked,bush,remove,"use sword, fire arrow or bomb."
,W83,conditional,wall,,remove bush at X83
,V83,conditional,wall,,
,U83,conditional,wall,,
,T82,blocked,chest,open,may contain useful gear or items
,AH84,confirmed_walkable,door,open,
,AH83,confirmed_walkable,,,
,AH82,confirmed_walkable,,,
,AH81,confirmed_walkable,,,
,BC79,blocked,bush,remove,"use sword, fire arrow or bomb."
,BD79,blocked,bush,remove,"use sword, fire arrow or bomb."
,BE79,blocked,bush,remove,reveals floor switch. Place pot here from AX81 to open door at AX78
,AX78,confirmed_walkable,door,open,unlock by placing pot on BE79
,AX77,confirmed_walkable,player_probe,,
,AX76,confirmed_walkable,player_probe,,
,AX75,confirmed_walkable,player_probe,,
,BJ62,confirmed_walkable,door,open,
,BJ61,confirmed_walkable,player_probe,,
,BJ60,confirmed_walkable,player_probe,,
,BJ59,confirmed_walkable,player_probe,,
,BJ56,confirmed_walkable,stairs,,takes player to BP56
,BO52,blocked,stump,shoot,shoot hook from BO46 to traverse moat
,BQ45,blocked,stump,shoot,shoot hook from BQ52 to traverse moat
,BP44,confirmed_walkable,door,open,
,BP43,confirmed_walkable,player_probe,,
,BP42,confirmed_walkable,player_probe,,
,BP41,confirmed_walkable,player_probe,,
,BP39,blocked,chest,open,may contain useful gear or items
,AM57,blocked,bush,remove,reveals floor switch. Place pot here from AQ77 to open door at AQ72
,AQ72,conditional,door,open,unlock by placing pot on AM57
,AQ71,confirmed_walkable,player_probe,,
,AQ70,confirmed_walkable,player_probe,,
,AQ69,confirmed_walkable,player_probe,,
,AS62,blocked,block,push,"push down from AS61, will trigger fight with monster at AR62"
,AS60,blocked,block,push,"push down from AS59, will trigger fight with monster at AR61"
,AR62,blocked,block,push,push down from AR61
,AQ62,confirmed_walkable,stairs,,send you to W6. You want to go here first.
,S19,blocked,chest,,
,AE16,blocked,switch,hit with sword,completes bridge at AK16 to AK20
,AF13,confirmed_walkable,arrows,jump,"looking right, shortcut to bridge AK16"
,BC60,confirmed_walkable,door,open,
,BC59,confirmed_walkable,player_probe,,
,BC658,confirmed_walkable,player_probe,,
,BC57,confirmed_walkable,player_probe,,
,BB53,confirmed_walkable,arrows,jump,facing left
,AZ51,confirmed_walkable,ladder,climb,
,AZ52,confirmed_walkable,ladder,climb,
,AZ53,confirmed_walkable,ladder,climb,
,AZ55,confirmed_walkable,stairs,,send you to AI7. Regular way to Bridge at AK16
,AE28,confirmed_walkable,wall,,
,AD28,confirmed_walkable,wall,,
,AC28,confirmed_walkable,wall,,
,AB28,confirmed_walkable,wall,,
,AA28,confirmed_walkable,wall,,
,Z28,confirmed_walkable,wall,,
,Y28,confirmed_walkable,wall,,
,X28,confirmed_walkable,wall,,
,W28,confirmed_walkable,wall,,
,V28,confirmed_walkable,wall,,
,U28,confirmed_walkable,wall,,
,U27,confirmed_walkable,wall,,
,U26,confirmed_walkable,wall,,
,U25,confirmed_walkable,wall,,
,U22,confirmed_walkable,stairs,,lead to U36
,U36,confirmed_walkable,stairs,,lead to U22
,S39,blocked,chest,,
,W36,blocked,chest,,
,AH26,confirmed_walkable,stairs,,lead to AH36
,AH36,confirmed_walkable,stairs,,lead to AH26
,AM36,confirmed_walkable,recovery tile,stand,restores HP
,AN36,confirmed_walkable,recovery tile,stand,restores MP
,AO36,confirmed_walkable,save tile,stand,save game
,AS36,confirmed_walkable,stairs,,lead to AX36
,AX36,confirmed_walkable,stairs,,lead to AS36
,BA29,confirmed_walkable,ladder,climb,
,BA28,confirmed_walkable,ladder,climb,
,BA26,blocked,monster,beat,may hold key item
Lake_Cave,U123,confirmed_walkable,player_probe,,dungeon entrance / exit
,V123,confirmed_walkable,player_probe,,dungeon entrance / exit
,Q117,blocked,lever,shoot,shoot to raise water level
,T120,blocked,tile,pick up and place,place at V116 after the lever has been flipped
,W120,blocked,tile,pick up and place,place at V115 after the lever has been flipped
,V118,blocked,tile,pick up and place,place at V114 after the lever has been flipped
,V108,confirmed_walkable,door,open,
