offset,address,score,action_hits,trials,control_hits,consistency,checklist_status,checklist_label,transitions
9033,7E:2349,55.0,3,5,0,0.667,,,"C0->80 x2, 40->00 x1"
10624,7E:2980,55.0,3,5,0,0.667,,,"04->00 x2, 00->04 x1"
10664,7E:29A8,55.0,3,5,0,0.667,,,"04->00 x2, 00->04 x1"
10673,7E:29B1,55.0,3,5,0,0.667,,,"00->04 x2, 04->06 x1"
11447,7E:2CB7,55.0,3,5,0,0.667,,,"00->01 x2, 01->00 x1"
13553,7E:34F1,55.0,3,5,0,0.667,,,"9D->FC x2, 01->9D x1"
13566,7E:34FE,55.0,3,5,0,0.667,,,"28->2A x2, 2A->28 x1"
13571,7E:3503,55.0,3,5,0,0.667,,,"C0->80 x2, 40->00 x1"
14215,7E:3787,55.0,3,5,0,0.667,,,"04->00 x2, 00->04 x1"
26458,7E:675A,55.0,3,5,0,0.667,,,"01->00 x2, 00->01 x1"
10639,7E:298F,52.0,4,5,1,0.25,,,"00->04 x1, 06->04 x1, 02->06 x1, 01->00 x1"
10714,7E:29DA,52.0,4,5,1,0.25,,,"02->03 x1, 04->05 x1, 06->05 x1, 04->03 x1"
9045,7E:2355,50.0,3,5,0,0.333,,,"E0->E1 x1, E1->E2 x1, E2->E3 x1"
9047,7E:2357,50.0,3,5,0,0.333,,,"E0->E1 x1, E1->E2 x1, E2->E3 x1"
10634,7E:298A,50.0,3,5,0,0.333,,,"04->06 x1, 06->02 x1, 02->00 x1"
10644,7E:2994,50.0,3,5,0,0.333,,,"00->02 x1, 02->06 x1, 06->04 x1"
10674,7E:29B2,50.0,3,5,0,0.333,,,"04->06 x1, 06->02 x1, 02->00 x1"
10684,7E:29BC,50.0,3,5,0,0.333,,,"00->02 x1, 02->06 x1, 06->04 x1"
13570,7E:3502,50.0,3,5,0,0.333,,,"00->2A x1, 2A->28 x1, 28->2A x1"
27293,7E:6A9D,48.0,3,5,1,1.0,,,00->01 x3
10633,7E:2989,44.0,3,5,1,0.667,,,"00->04 x2, 04->06 x1"
10678,7E:29B6,44.0,3,5,1,0.667,,,"00->04 x2, 02->06 x1"
26155,7E:662B,44.0,3,5,1,0.667,,,"01->00 x2, 00->01 x1"
26369,7E:6701,44.0,3,5,1,0.667,,,"00->01 x2, 01->00 x1"
9311,7E:245F,40.0,2,5,0,1.0,,,22->24 x2
9315,7E:2463,40.0,2,5,0,1.0,,,22->24 x2
9327,7E:246F,40.0,2,5,0,1.0,,,24->22 x2
9331,7E:2473,40.0,2,5,0,1.0,,,24->22 x2
10623,7E:297F,40.0,2,5,0,1.0,,,00->04 x2
10663,7E:29A7,40.0,2,5,0,1.0,,,00->04 x2
10758,7E:2A06,40.0,2,5,0,1.0,,,31->30 x2
11446,7E:2CB6,40.0,2,5,0,1.0,,,01->00 x2
14214,7E:3786,40.0,2,5,0,1.0,,,00->04 x2
27333,7E:6AC5,40.0,2,5,0,1.0,,,01->00 x2
27377,7E:6AF1,40.0,2,5,0,1.0,,,00->01 x2
27378,7E:6AF2,40.0,2,5,0,1.0,,,01->00 x2
10637,7E:298D,40.0,3,5,1,0.333,,,"00->02 x1, 02->06 x1, 00->04 x1"
10677,7E:29B5,40.0,3,5,1,0.333,,,"00->02 x1, 02->06 x1, 00->04 x1"
10679,7E:29B7,40.0,3,5,1,0.333,,,"00->04 x1, 06->04 x1, 02->06 x1"
10715,7E:29DB,35.0,2,5,0,0.5,,,"0F->0E x1, 0E->0F x1"
10724,7E:29E4,35.0,2,5,0,0.5,,,"0E->0D x1, 0C->0D x1"
10753,7E:2A01,35.0,2,5,0,0.5,,,"1B->1A x1, 1C->1B x1"
10754,7E:2A02,35.0,2,5,0,0.5,,,"1A->19 x1, 19->1A x1"
11449,7E:2CB9,35.0,2,5,0,0.5,x,7E:2CB5–7E:2CB9 = Richtungsverlauf/FIFO,"00->01 x1, 01->00 x1"
13549,7E:34ED,35.0,2,5,0,0.5,,,"FC->9D x1, 9C->9D x1"
25624,7E:6418,35.0,2,5,0,0.5,,,"00->01 x1, 01->00 x1"
66836,7F:0514,35.0,2,5,0,0.5,,,"C0->B0 x1, A0->B0 x1"
10638,7E:298E,33.0,3,5,2,0.667,,,"00->04 x2, 02->06 x1"
25584,7E:63F0,32.0,2,5,1,1.0,,,10->11 x2
26218,7E:666A,32.0,2,5,1,1.0,,,01->00 x2
11875,7E:2E63,32.0,5,5,3,0.2,,,"2C->30 x1, 33->35 x1, 37->3A x1, 01->02 x1"
10717,7E:29DD,28.0,2,5,1,0.5,,,"15->14 x1, 13->14 x1"
10718,7E:29DE,28.0,2,5,1,0.5,,,"08->09 x1, 07->06 x1"
10759,7E:2A07,28.0,2,5,1,0.5,,,"29->28 x1, 28->27 x1"
17157,7E:4305,26.0,4,5,3,0.25,,,"86->A4 x1, 05->A4 x1, 05->86 x1, A4->86 x1"
17158,7E:4306,26.0,4,5,3,0.25,,,"70->54 x1, 73->54 x1, 73->70 x1, 54->70 x1"
17159,7E:4307,26.0,4,5,3,0.25,,,"00->A2 x1, 6D->A2 x1, 6D->00 x1, A2->00 x1"
17160,7E:4308,26.0,4,5,3,0.25,,,"FF->18 x1, DA->0C x1, DA->FF x1, 15->FF x1"
17163,7E:430B,26.0,4,5,3,0.25,,,"E5->DC x1, DA->DC x1, DA->E5 x1, DC->E5 x1"
9023,7E:233F,24.0,2,5,2,1.0,,,81->A2 x2
10574,7E:294E,24.0,2,5,2,1.0,,,80->00 x2
17161,7E:4309,24.0,2,5,2,1.0,,,83->00 x2
26938,7E:693A,24.0,2,5,2,1.0,,,10->11 x2
10293,7E:2835,21.0,2,5,2,0.5,,,"D2->80 x1, 8F->03 x1"
10294,7E:2836,21.0,2,5,2,0.5,,,"4B->FE x1, F1->39 x1"
10295,7E:2837,21.0,2,5,2,0.5,,,"B8->28 x1, F7->F0 x1"
10296,7E:2838,21.0,2,5,2,0.5,,,"A3->E1 x1, 64->1F x1"
10297,7E:2839,21.0,2,5,2,0.5,,,"A9->DC x1, 80->8D x1"
10298,7E:283A,21.0,2,5,2,0.5,,,"D3->77 x1, 1C->4F x1"
10299,7E:283B,21.0,2,5,2,0.5,,,"2A->6F x1, 6B->0B x1"
10300,7E:283C,21.0,2,5,2,0.5,,,"40->E5 x1, BE->36 x1"
10301,7E:283D,21.0,2,5,2,0.5,,,"72->DA x1, 82->2B x1"
10302,7E:283E,21.0,2,5,2,0.5,,,"DD->CB x1, DB->A9 x1"
10303,7E:283F,21.0,2,5,2,0.5,,,"AD->A5 x1, DA->DD x1"
10304,7E:2840,21.0,2,5,2,0.5,,,"5F->A6 x1, 32->C9 x1"
10305,7E:2841,21.0,2,5,2,0.5,,,"6F->E9 x1, B6->01 x1"
10306,7E:2842,21.0,2,5,2,0.5,,,"B3->8D x1, 54->8C x1"
10307,7E:2843,21.0,2,5,2,0.5,,,"77->88 x1, F1->A9 x1"
10308,7E:2844,21.0,2,5,2,0.5,,,"FC->FD x1, AB->5F x1"
10309,7E:2845,21.0,2,5,2,0.5,,,"D7->DB x1, 70->67 x1"
10310,7E:2846,21.0,2,5,2,0.5,,,"66->B2 x1, 47->54 x1"
10311,7E:2847,21.0,2,5,2,0.5,,,"62->B9 x1, 73->5C x1"
10312,7E:2848,21.0,2,5,2,0.5,,,"28->1A x1, 1F->F6 x1"
10313,7E:2849,21.0,2,5,2,0.5,,,"54->23 x1, 18->D4 x1"
10314,7E:284A,21.0,2,5,2,0.5,,,"CB->18 x1, 9D->B8 x1"
10315,7E:284B,21.0,2,5,2,0.5,,,"9C->0C x1, F7->17 x1"
10316,7E:284C,21.0,2,5,2,0.5,,,"F7->44 x1, E4->30 x1"
10317,7E:284D,21.0,2,5,2,0.5,,,"80->00 x1, 4D->4E x1"
10318,7E:284E,21.0,2,5,2,0.5,,,"8A->74 x1, DE->E7 x1"
10319,7E:284F,21.0,2,5,2,0.5,,,"2A->02 x1, 83->73 x1"
10320,7E:2850,21.0,2,5,2,0.5,,,"C0->21 x1, 78->67 x1"
10321,7E:2851,21.0,2,5,2,0.5,,,"90->4C x1, 46->CB x1"
10322,7E:2852,21.0,2,5,2,0.5,,,"19->6E x1, B3->FC x1"
10323,7E:2853,21.0,2,5,2,0.5,,,"9C->F3 x1, 9F->94 x1"
10324,7E:2854,21.0,2,5,2,0.5,,,"52->B7 x1, 8C->BA x1"
10325,7E:2855,21.0,2,5,2,0.5,,,"B5->6F x1, C8->E3 x1"
10326,7E:2856,21.0,2,5,2,0.5,,,"90->5B x1, 07->AE x1"
10327,7E:2857,21.0,2,5,2,0.5,,,"42->E7 x1, 7B->A6 x1"
10328,7E:2858,21.0,2,5,2,0.5,,,"75->D3 x1, 0D->C4 x1"
10329,7E:2859,21.0,2,5,2,0.5,,,"A4->4D x1, 53->52 x1"
10330,7E:285A,21.0,2,5,2,0.5,,,"45->C8 x1, 60->EC x1"
10331,7E:285B,21.0,2,5,2,0.5,,,"A5->2D x1, 88->21 x1"
10332,7E:285C,21.0,2,5,2,0.5,,,"A8->55 x1, A9->F6 x1"
10333,7E:285D,21.0,2,5,2,0.5,,,"16->CD x1, 72->15 x1"
10334,7E:285E,21.0,2,5,2,0.5,,,"08->BA x1, 07->53 x1"
10335,7E:285F,21.0,2,5,2,0.5,,,"F9->40 x1, FB->A7 x1"
10336,7E:2860,21.0,2,5,2,0.5,,,"86->9C x1, B7->41 x1"
10337,7E:2861,21.0,2,5,2,0.5,,,"3E->1D x1, D8->0C x1"
10338,7E:2862,21.0,2,5,2,0.5,,,"FF->E7 x1, 58->E0 x1"
10339,7E:2863,21.0,2,5,2,0.5,,,"01->0D x1, F4->E3 x1"
10340,7E:2864,21.0,2,5,2,0.5,,,"0C->48 x1, 17->27 x1"
10342,7E:2866,21.0,2,5,2,0.5,,,"DB->AF x1, 2F->C8 x1"
10343,7E:2867,21.0,2,5,2,0.5,,,"32->30 x1, E9->9A x1"
10344,7E:2868,21.0,2,5,2,0.5,,,"77->56 x1, CC->AB x1"
10345,7E:2869,21.0,2,5,2,0.5,,,"D3->9F x1, 25->EE x1"
10346,7E:286A,21.0,2,5,2,0.5,,,"90->FE x1, E0->1C x1"
10347,7E:286B,21.0,2,5,2,0.5,,,"B3->40 x1, D4->40 x1"
10763,7E:2A0B,21.0,2,5,2,0.5,,,"13->12 x1, 13->14 x1"
17156,7E:4304,21.0,2,5,2,0.5,~,IP-Fähigkeit der ausgerüsteten Weapon | Equipment-Metadaten: 7E:42DD–7E:4304,"A8->63 x1, A6->63 x1"
9014,7E:2336,20.0,1,5,0,1.0,,,00->08 x1
9015,7E:2337,20.0,1,5,0,1.0,,,04->00 x1
9034,7E:234A,20.0,1,5,0,1.0,,,00->2A x1
9035,7E:234B,20.0,1,5,0,1.0,,,00->80 x1
9121,7E:23A1,20.0,1,5,0,1.0,,,0A->8E x1
9122,7E:23A2,20.0,1,5,0,1.0,,,00->11 x1
10441,7E:28C9,20.0,1,5,0,1.0,,,00->08 x1
10642,7E:2992,20.0,1,5,0,1.0,,,02->06 x1
10647,7E:2997,20.0,1,5,0,1.0,,,00->02 x1
10682,7E:29BA,20.0,1,5,0,1.0,,,02->06 x1
10687,7E:29BF,20.0,1,5,0,1.0,,,00->02 x1
10713,7E:29D9,20.0,1,5,0,1.0,,,0E->0F x1
10722,7E:29E2,20.0,1,5,0,1.0,,,20->21 x1
10757,7E:2A05,20.0,1,5,0,1.0,,,06->05 x1
10764,7E:2A0C,20.0,1,5,0,1.0,,,32->31 x1
10766,7E:2A0E,20.0,1,5,0,1.0,,,10->11 x1
10767,7E:2A0F,20.0,1,5,0,1.0,,,2D->2E x1
13552,7E:34F0,20.0,1,5,0,1.0,,,00->AC x1
13554,7E:34F2,20.0,1,5,0,1.0,,,00->AC x1
13556,7E:34F4,20.0,1,5,0,1.0,,,00->AC x1
13572,7E:3504,20.0,1,5,0,1.0,,,00->2A x1
13583,7E:350F,20.0,1,5,0,1.0,,,00->80 x1
13585,7E:3511,20.0,1,5,0,1.0,,,00->80 x1
13587,7E:3513,20.0,1,5,0,1.0,,,00->80 x1
17220,7E:4344,20.0,1,5,0,1.0,,,00->4F x1
17221,7E:4345,20.0,1,5,0,1.0,,,00->18 x1
17222,7E:4346,20.0,1,5,0,1.0,,,00->4D x1
17223,7E:4347,20.0,1,5,0,1.0,,,00->18 x1
17284,7E:4384,20.0,1,5,0,1.0,,,00->50 x1
17285,7E:4385,20.0,1,5,0,1.0,,,00->18 x1
17286,7E:4386,20.0,1,5,0,1.0,,,00->4E x1
17287,7E:4387,20.0,1,5,0,1.0,,,00->18 x1
19220,7E:4B14,20.0,1,5,0,1.0,,,10->4A x1
19221,7E:4B15,20.0,1,5,0,1.0,,,08->10 x1
19222,7E:4B16,20.0,1,5,0,1.0,,,10->4A x1
19223,7E:4B17,20.0,1,5,0,1.0,,,08->10 x1
19224,7E:4B18,20.0,1,5,0,1.0,,,10->1A x1
19225,7E:4B19,20.0,1,5,0,1.0,,,08->78 x1
19226,7E:4B1A,20.0,1,5,0,1.0,,,10->1A x1
19227,7E:4B1B,20.0,1,5,0,1.0,,,08->38 x1
19228,7E:4B1C,20.0,1,5,0,1.0,,,10->47 x1
19229,7E:4B1D,20.0,1,5,0,1.0,,,08->10 x1
19230,7E:4B1E,20.0,1,5,0,1.0,,,10->48 x1
19231,7E:4B1F,20.0,1,5,0,1.0,,,08->10 x1
19232,7E:4B20,20.0,1,5,0,1.0,,,10->47 x1
19233,7E:4B21,20.0,1,5,0,1.0,,,08->10 x1
19234,7E:4B22,20.0,1,5,0,1.0,,,10->48 x1
19235,7E:4B23,20.0,1,5,0,1.0,,,08->10 x1
19236,7E:4B24,20.0,1,5,0,1.0,,,10->57 x1
19237,7E:4B25,20.0,1,5,0,1.0,,,08->8C x1
19238,7E:4B26,20.0,1,5,0,1.0,,,10->11 x1
19239,7E:4B27,20.0,1,5,0,1.0,,,08->8C x1
19240,7E:4B28,20.0,1,5,0,1.0,,,10->11 x1
19241,7E:4B29,20.0,1,5,0,1.0,,,08->8C x1
19242,7E:4B2A,20.0,1,5,0,1.0,,,10->11 x1
19243,7E:4B2B,20.0,1,5,0,1.0,,,08->8C x1
19244,7E:4B2C,20.0,1,5,0,1.0,,,10->11 x1
19245,7E:4B2D,20.0,1,5,0,1.0,,,08->8C x1
19246,7E:4B2E,20.0,1,5,0,1.0,,,10->11 x1
19247,7E:4B2F,20.0,1,5,0,1.0,,,08->8C x1
19248,7E:4B30,20.0,1,5,0,1.0,,,10->11 x1
19249,7E:4B31,20.0,1,5,0,1.0,,,08->8C x1
19250,7E:4B32,20.0,1,5,0,1.0,,,10->11 x1
19251,7E:4B33,20.0,1,5,0,1.0,,,08->8C x1
19252,7E:4B34,20.0,1,5,0,1.0,,,10->11 x1
19253,7E:4B35,20.0,1,5,0,1.0,,,08->8C x1
19254,7E:4B36,20.0,1,5,0,1.0,,,10->11 x1
19255,7E:4B37,20.0,1,5,0,1.0,,,08->8C x1
19256,7E:4B38,20.0,1,5,0,1.0,,,10->11 x1
19257,7E:4B39,20.0,1,5,0,1.0,,,08->8C x1
19258,7E:4B3A,20.0,1,5,0,1.0,,,10->11 x1
19259,7E:4B3B,20.0,1,5,0,1.0,,,08->8C x1
19260,7E:4B3C,20.0,1,5,0,1.0,,,10->11 x1
19261,7E:4B3D,20.0,1,5,0,1.0,,,08->8C x1
19262,7E:4B3E,20.0,1,5,0,1.0,,,10->11 x1
19263,7E:4B3F,20.0,1,5,0,1.0,,,08->8C x1
19264,7E:4B40,20.0,1,5,0,1.0,,,10->11 x1
19265,7E:4B41,20.0,1,5,0,1.0,,,08->8C x1
19266,7E:4B42,20.0,1,5,0,1.0,,,10->11 x1
19267,7E:4B43,20.0,1,5,0,1.0,,,08->8C x1
19268,7E:4B44,20.0,1,5,0,1.0,,,10->11 x1
19269,7E:4B45,20.0,1,5,0,1.0,,,08->0C x1
19270,7E:4B46,20.0,1,5,0,1.0,,,10->11 x1
19271,7E:4B47,20.0,1,5,0,1.0,,,08->0C x1
19272,7E:4B48,20.0,1,5,0,1.0,,,10->11 x1
19273,7E:4B49,20.0,1,5,0,1.0,,,08->0C x1
19274,7E:4B4A,20.0,1,5,0,1.0,,,10->57 x1
19275,7E:4B4B,20.0,1,5,0,1.0,,,08->4C x1
19276,7E:4B4C,20.0,1,5,0,1.0,,,10->4A x1
19277,7E:4B4D,20.0,1,5,0,1.0,,,08->10 x1
19278,7E:4B4E,20.0,1,5,0,1.0,,,10->4A x1
19279,7E:4B4F,20.0,1,5,0,1.0,,,08->10 x1
19280,7E:4B50,20.0,1,5,0,1.0,,,10->4A x1
19281,7E:4B51,20.0,1,5,0,1.0,,,08->10 x1
19282,7E:4B52,20.0,1,5,0,1.0,,,10->4A x1
19283,7E:4B53,20.0,1,5,0,1.0,,,08->10 x1
19284,7E:4B54,20.0,1,5,0,1.0,,,10->4B x1
19285,7E:4B55,20.0,1,5,0,1.0,,,08->10 x1
19286,7E:4B56,20.0,1,5,0,1.0,,,10->4C x1
19287,7E:4B57,20.0,1,5,0,1.0,,,08->10 x1
19288,7E:4B58,20.0,1,5,0,1.0,,,10->1A x1
19289,7E:4B59,20.0,1,5,0,1.0,,,08->78 x1
19290,7E:4B5A,20.0,1,5,0,1.0,,,10->1A x1
19291,7E:4B5B,20.0,1,5,0,1.0,,,08->38 x1
19292,7E:4B5C,20.0,1,5,0,1.0,,,10->47 x1
19293,7E:4B5D,20.0,1,5,0,1.0,,,08->10 x1
19294,7E:4B5E,20.0,1,5,0,1.0,,,10->49 x1
19295,7E:4B5F,20.0,1,5,0,1.0,,,08->10 x1
19296,7E:4B60,20.0,1,5,0,1.0,,,10->47 x1
19297,7E:4B61,20.0,1,5,0,1.0,,,08->10 x1
19298,7E:4B62,20.0,1,5,0,1.0,,,10->49 x1
19299,7E:4B63,20.0,1,5,0,1.0,,,08->10 x1
19300,7E:4B64,20.0,1,5,0,1.0,,,10->C3 x1
19301,7E:4B65,20.0,1,5,0,1.0,,,08->8D x1
19302,7E:4B66,20.0,1,5,0,1.0,,,10->C4 x1
19303,7E:4B67,20.0,1,5,0,1.0,,,08->8D x1
19304,7E:4B68,20.0,1,5,0,1.0,,,10->C4 x1
19305,7E:4B69,20.0,1,5,0,1.0,,,08->8D x1
19306,7E:4B6A,20.0,1,5,0,1.0,,,10->C4 x1
19307,7E:4B6B,20.0,1,5,0,1.0,,,08->8D x1
19308,7E:4B6C,20.0,1,5,0,1.0,,,10->C4 x1
19309,7E:4B6D,20.0,1,5,0,1.0,,,08->8D x1
19310,7E:4B6E,20.0,1,5,0,1.0,,,10->C4 x1
19311,7E:4B6F,20.0,1,5,0,1.0,,,08->8D x1
19312,7E:4B70,20.0,1,5,0,1.0,,,10->C4 x1
19313,7E:4B71,20.0,1,5,0,1.0,,,08->8D x1
19314,7E:4B72,20.0,1,5,0,1.0,,,10->C4 x1
19315,7E:4B73,20.0,1,5,0,1.0,,,08->8D x1
19316,7E:4B74,20.0,1,5,0,1.0,,,10->C4 x1
19317,7E:4B75,20.0,1,5,0,1.0,,,08->8D x1
19318,7E:4B76,20.0,1,5,0,1.0,,,10->C4 x1
19319,7E:4B77,20.0,1,5,0,1.0,,,08->8D x1
19320,7E:4B78,20.0,1,5,0,1.0,,,10->C4 x1
19321,7E:4B79,20.0,1,5,0,1.0,,,08->8D x1
19322,7E:4B7A,20.0,1,5,0,1.0,,,10->C4 x1
19323,7E:4B7B,20.0,1,5,0,1.0,,,08->8D x1
19324,7E:4B7C,20.0,1,5,0,1.0,,,10->C4 x1
19325,7E:4B7D,20.0,1,5,0,1.0,,,08->8D x1
19326,7E:4B7E,20.0,1,5,0,1.0,,,10->C4 x1
19327,7E:4B7F,20.0,1,5,0,1.0,,,08->8D x1
19328,7E:4B80,20.0,1,5,0,1.0,,,10->CA x1
19329,7E:4B81,20.0,1,5,0,1.0,,,08->8D x1
19330,7E:4B82,20.0,1,5,0,1.0,,,10->11 x1
19331,7E:4B83,20.0,1,5,0,1.0,,,08->CC x1
19332,7E:4B84,20.0,1,5,0,1.0,,,10->11 x1
19333,7E:4B85,20.0,1,5,0,1.0,,,08->0C x1
19334,7E:4B86,20.0,1,5,0,1.0,,,10->11 x1
19335,7E:4B87,20.0,1,5,0,1.0,,,08->0C x1
19336,7E:4B88,20.0,1,5,0,1.0,,,10->11 x1
19337,7E:4B89,20.0,1,5,0,1.0,,,08->0C x1
19338,7E:4B8A,20.0,1,5,0,1.0,,,10->57 x1
19339,7E:4B8B,20.0,1,5,0,1.0,,,08->4C x1
19340,7E:4B8C,20.0,1,5,0,1.0,,,10->4B x1
19341,7E:4B8D,20.0,1,5,0,1.0,,,08->10 x1
19342,7E:4B8E,20.0,1,5,0,1.0,,,10->4C x1
19343,7E:4B8F,20.0,1,5,0,1.0,,,08->10 x1
19344,7E:4B90,20.0,1,5,0,1.0,,,10->4B x1
19345,7E:4B91,20.0,1,5,0,1.0,,,08->10 x1
19346,7E:4B92,20.0,1,5,0,1.0,,,10->4C x1
19347,7E:4B93,20.0,1,5,0,1.0,,,08->10 x1
25625,7E:6419,20.0,1,5,0,1.0,,,01->00 x1
25734,7E:6486,20.0,1,5,0,1.0,,,00->01 x1
26006,7E:6596,20.0,1,5,0,1.0,,,21->20 x1
